GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jeu_dilemme_g2_6,com.example.partiedejeux,Jeu,27,351,15,37,11,88,14,33,0,21
jeu_dilemme_g2_6,com.example.partiedejeux,Resultat,0,42,0,0,0,9,0,3,0,3
jeu_dilemme_g2_6,com.example.partiedejeux,HistoriqueJoueur,9,105,1,4,1,23,1,11,0,9
jeu_dilemme_g2_6,com.example.strategie,Strategie,0,14,0,2,0,5,0,3,0,2
jeu_dilemme_g2_6,com.example.strategie,Donnant2Donnant,2,33,2,2,1,10,2,2,0,2
jeu_dilemme_g2_6,com.example.strategie,Aleatoire,0,6,0,0,0,2,0,2,0,2
jeu_dilemme_g2_6,com.example.strategie,DonnantDonnant,0,18,0,0,0,6,0,2,0,2
jeu_dilemme_g2_6,com.example.strategie,DonnantDonnantAleatoire,0,26,0,2,0,8,0,3,0,2
jeu_dilemme_g2_6,com.example.strategie,Donnant2DonnantAleatoire,19,24,4,2,5,9,2,3,0,2
jeu_dilemme_g2_6,com.example.strategie,ToujoursTrahir,0,5,0,0,0,2,0,2,0,2
jeu_dilemme_g2_6,com.example.strategie,VraiPacificateur,0,34,2,4,0,8,2,3,0,2
jeu_dilemme_g2_6,com.example.strategie,PacificateurNaif,18,9,4,0,4,4,2,2,0,2
jeu_dilemme_g2_6,com.example.strategie,Rancunier,0,23,0,4,0,7,0,4,0,2
jeu_dilemme_g2_6,com.example.strategie,ToujoursCooperer,0,5,0,0,0,2,0,2,0,2
jeu_dilemme_g2_6,com.example.strategie,SondeurNaif,18,9,4,0,4,4,2,2,0,2
jeu_dilemme_g2_6,com.example.strategie,SondeurRepentant,17,31,6,2,4,8,4,2,0,2
jeu_dilemme_g2_6,com.example.joueur,Joueur,0,77,0,3,0,31,0,16,0,14
jeu_dilemme_g2_6,com.example.joueur,Coup,0,15,0,0,0,3,0,1,0,1
jeu_dilemme_g2_6,com.example,RestServer,8,0,0,0,3,0,2,0,2,0
jeu_dilemme_g2_6,com.example,Tools,0,211,1,20,0,55,1,19,0,4
jeu_dilemme_g2_6,com.example,Main,80,339,9,17,16,80,10,21,3,15
